username,ip_address,attempt_count
admin,192.168.1.225,1
illegal,10.0.0.54,2
invalid,198.51.100.56,1
admin,198.51.100.144,1
admin,172.16.0.4,1
illegal,203.0.113.32,1
invalid,10.0.0.237,1
admin,10.0.0.159,1
guest,198.51.100.59,1
illegal,192.168.1.178,1
user1,172.16.0.23,1
user1,10.0.0.3,1
user1,198.51.100.81,1
guest,10.0.0.20,1
root,172.16.0.137,1
admin,192.168.1.4,1
sysadmin,203.0.113.53,1
oracle,172.16.0.144,1
invalid,10.0.0.222,1
invalid,198.51.100.156,1
admin,10.0.0.75,1
illegal,172.16.0.111,1
invalid,10.0.0.121,1
user1,192.168.1.76,1
invalid,192.168.1.64,1
user2,192.168.1.134,1
root,192.168.1.241,1
invalid,203.0.113.177,1
root,203.0.113.48,2
invalid,172.16.0.87,1
test,10.0.0.113,1
user2,10.0.0.134,1
oracle,192.168.1.31,1
admin,172.16.0.57,3
john,10.0.0.39,1
john,192.168.1.209,1
invalid,10.0.0.49,1
user2,198.51.100.233,1
sysadmin,10.0.0.160,1
illegal,198.51.100.83,1
admin,198.51.100.21,1
root,172.16.0.11,1
invalid,198.51.100.243,2
invalid,198.51.100.23,1
guest,198.51.100.5,1
invalid,172.16.0.43,1
illegal,172.16.0.244,2
oracle,192.168.1.173,1
ftp,172.16.0.252,1
invalid,192.168.1.230,1
illegal,10.0.0.67,1
user2,172.16.0.245,1
user1,172.16.0.49,1
guest,172.16.0.202,1
admin,198.51.100.109,1
user1,10.0.0.66,1
admin,203.0.113.71,1
ftp,203.0.113.155,1
illegal,192.168.1.63,1
sysadmin,172.16.0.214,1
oracle,203.0.113.206,1
invalid,192.168.1.107,1
illegal,192.168.1.227,1
illegal,192.168.1.28,2
invalid,10.0.0.102,2
user2,192.168.1.160,1
invalid,192.168.1.143,1
root,198.51.100.247,1
illegal,192.168.1.27,2
illegal,192.168.1.242,1
illegal,10.0.0.228,1
invalid,198.51.100.46,1
invalid,172.16.0.130,2
illegal,198.51.100.95,1
sysadmin,172.16.0.147,1
oracle,192.168.1.60,1
invalid,192.168.1.245,1
illegal,198.51.100.165,1
sysadmin,192.168.1.211,1
admin,10.0.0.136,1
illegal,10.0.0.51,1
invalid,10.0.0.29,1
oracle,192.168.1.8,1
illegal,172.16.0.246,1
invalid,172.16.0.120,1
illegal,192.168.1.169,1
invalid,198.51.100.224,2
illegal,10.0.0.215,1
oracle,172.16.0.61,1
user1,10.0.0.222,1
invalid,192.168.1.83,1
illegal,10.0.0.239,1
illegal,192.168.1.24,1
guest,10.0.0.48,1
invalid,203.0.113.49,1
illegal,203.0.113.253,2
invalid,198.51.100.246,1
illegal,203.0.113.136,1
test,10.0.0.86,1
user2,198.51.100.16,1
john,172.16.0.8,1
invalid,203.0.113.11,1
sysadmin,172.16.0.38,2
illegal,172.16.0.143,1
invalid,10.0.0.21,1
sysadmin,172.16.0.133,1
invalid,198.51.100.2,1
oracle,198.51.100.206,1
sysadmin,10.0.0.109,1
invalid,172.16.0.178,1
invalid,198.51.100.176,1
illegal,198.51.100.226,1
user1,192.168.1.239,1
admin,172.16.0.19,1
illegal,172.16.0.237,2
illegal,198.51.100.100,1
illegal,203.0.113.140,2
john,172.16.0.125,1
sysadmin,203.0.113.35,1
sysadmin,172.16.0.66,1
oracle,192.168.1.12,1
oracle,10.0.0.200,1
invalid,192.168.1.221,1
illegal,192.168.1.152,1
illegal,203.0.113.124,1
illegal,172.16.0.24,1
invalid,203.0.113.167,1
invalid,192.168.1.148,1
illegal,10.0.0.146,1
user1,10.0.0.220,1
oracle,203.0.113.68,1
test,203.0.113.64,1
illegal,192.168.1.193,1
user2,172.16.0.8,1
test,172.16.0.137,1
admin,198.51.100.202,1
user1,192.168.1.85,1
admin,10.0.0.80,1
user1,172.16.0.244,1
test,172.16.0.63,1
illegal,172.16.0.5,1
invalid,192.168.1.192,1
oracle,198.51.100.67,1
ftp,203.0.113.116,2
illegal,203.0.113.95,1
invalid,172.16.0.52,1
oracle,192.168.1.172,1
sysadmin,192.168.1.136,1
oracle,198.51.100.213,1
invalid,10.0.0.246,1
illegal,198.51.100.127,1
root,198.51.100.53,1
invalid,203.0.113.115,1
john,198.51.100.29,1
invalid,203.0.113.143,1
admin,172.16.0.96,1
test,10.0.0.27,1
user2,198.51.100.172,1
illegal,192.168.1.18,2
invalid,198.51.100.152,1
sysadmin,172.16.0.205,1
oracle,192.168.1.48,1
oracle,198.51.100.114,1
illegal,10.0.0.40,1
guest,10.0.0.125,1
user1,172.16.0.65,1
invalid,192.168.1.170,1
invalid,172.16.0.88,1
illegal,203.0.113.75,1
admin,198.51.100.28,1
illegal,192.168.1.224,1
user2,203.0.113.113,1
illegal,203.0.113.197,1
user2,10.0.0.71,1
invalid,172.16.0.230,1
invalid,203.0.113.93,1
sysadmin,203.0.113.59,1
invalid,198.51.100.33,1
illegal,198.51.100.27,1
user2,172.16.0.225,1
john,203.0.113.228,1
invalid,10.0.0.23,1
invalid,198.51.100.57,3
illegal,203.0.113.175,1
illegal,10.0.0.194,1
user1,198.51.100.142,1
admin,10.0.0.55,1
oracle,10.0.0.250,1
john,192.168.1.34,1
test,203.0.113.168,1
illegal,203.0.113.28,1
ftp,203.0.113.61,1
illegal,198.51.100.5,1
admin,198.51.100.18,1
oracle,198.51.100.23,1
illegal,192.168.1.211,2
test,10.0.0.55,1
illegal,10.0.0.48,1
ftp,10.0.0.237,1
user1,192.168.1.246,1
illegal,192.168.1.32,1
john,192.168.1.63,1
user1,198.51.100.198,1
root,172.16.0.79,1
illegal,10.0.0.30,1
invalid,203.0.113.223,1
illegal,172.16.0.66,1
user1,203.0.113.68,1
test,198.51.100.76,1
illegal,172.16.0.64,1
illegal,198.51.100.86,1
sysadmin,10.0.0.81,1
guest,172.16.0.41,1
guest,172.16.0.235,1
user2,192.168.1.191,1
illegal,10.0.0.115,1
illegal,203.0.113.55,1
illegal,10.0.0.154,1
oracle,10.0.0.80,1
illegal,10.0.0.176,1
invalid,203.0.113.47,1
user2,10.0.0.104,1
john,192.168.1.114,1
invalid,192.168.1.193,2
sysadmin,172.16.0.28,1
guest,10.0.0.19,1
illegal,198.51.100.233,1
illegal,198.51.100.29,1
john,203.0.113.28,2
illegal,198.51.100.168,1
guest,192.168.1.197,1
test,192.168.1.114,1
admin,192.168.1.117,1
john,172.16.0.124,1
user1,172.16.0.222,1
oracle,172.16.0.113,1
oracle,198.51.100.119,1
admin,172.16.0.119,1
invalid,192.168.1.45,1
invalid,172.16.0.115,1
invalid,192.168.1.213,2
sysadmin,10.0.0.67,1
illegal,192.168.1.171,1
oracle,10.0.0.173,1
illegal,192.168.1.226,1
illegal,10.0.0.38,1
user1,198.51.100.229,1
user2,10.0.0.21,1
guest,198.51.100.189,1
admin,172.16.0.160,1
illegal,172.16.0.7,1
illegal,198.51.100.132,1
test,192.168.1.22,1
invalid,198.51.100.193,1
user1,192.168.1.137,1
invalid,192.168.1.89,1
sysadmin,10.0.0.122,1
test,10.0.0.236,1
guest,172.16.0.203,1
illegal,10.0.0.202,1
user1,172.16.0.76,1
illegal,10.0.0.110,1
user1,198.51.100.171,1
oracle,203.0.113.175,1
sysadmin,198.51.100.155,1
user2,172.16.0.46,1
invalid,10.0.0.140,1
oracle,192.168.1.130,2
invalid,10.0.0.183,2
admin,198.51.100.52,1
john,172.16.0.237,1
illegal,172.16.0.96,1
user1,198.51.100.78,1
sysadmin,10.0.0.184,1
invalid,203.0.113.124,1
ftp,192.168.1.167,1
invalid,203.0.113.100,1
user1,198.51.100.66,1
illegal,203.0.113.22,1
john,172.16.0.183,1
illegal,172.16.0.76,1
ftp,192.168.1.165,1
ftp,10.0.0.15,1
invalid,10.0.0.101,1
illegal,203.0.113.65,1
invalid,10.0.0.110,1
illegal,203.0.113.123,1
user2,192.168.1.179,1
illegal,10.0.0.234,1
admin,203.0.113.46,1
admin,172.16.0.46,2
admin,172.16.0.68,1
invalid,198.51.100.27,1
illegal,192.168.1.17,1
guest,203.0.113.225,1
illegal,198.51.100.215,1
invalid,172.16.0.67,1
invalid,172.16.0.100,3
illegal,203.0.113.9,1
invalid,203.0.113.50,1
user2,192.168.1.197,1
illegal,10.0.0.190,1
root,198.51.100.101,1
root,198.51.100.196,1
test,198.51.100.51,1
illegal,198.51.100.236,1
test,10.0.0.31,1
invalid,203.0.113.224,1
user1,10.0.0.22,1
illegal,172.16.0.147,1
sysadmin,172.16.0.209,1
illegal,10.0.0.129,1
ftp,198.51.100.23,1
root,198.51.100.79,2
ftp,198.51.100.106,1
invalid,172.16.0.22,1
invalid,203.0.113.235,1
user2,198.51.100.32,1
admin,198.51.100.116,1
john,172.16.0.246,1
invalid,198.51.100.10,2
illegal,192.168.1.120,1
invalid,203.0.113.217,1
illegal,172.16.0.159,2
root,198.51.100.184,1
invalid,203.0.113.79,1
admin,192.168.1.130,1
illegal,10.0.0.156,1
user2,192.168.1.158,1
invalid,198.51.100.115,1
ftp,172.16.0.50,1
invalid,192.168.1.158,1
user2,10.0.0.41,1
illegal,172.16.0.180,1
invalid,203.0.113.216,1
illegal,198.51.100.183,2
oracle,198.51.100.126,1
invalid,203.0.113.41,1
illegal,172.16.0.8,1
invalid,10.0.0.250,2
invalid,203.0.113.179,1
illegal,10.0.0.56,2
user2,192.168.1.195,1
illegal,203.0.113.77,1
root,203.0.113.241,1
user1,203.0.113.36,1
oracle,10.0.0.178,1
user2,203.0.113.161,1
guest,203.0.113.176,1
guest,203.0.113.63,1
illegal,203.0.113.82,1
john,10.0.0.86,1
illegal,10.0.0.192,1
invalid,192.168.1.5,1
guest,172.16.0.248,1
user2,10.0.0.184,1
sysadmin,172.16.0.68,1
illegal,198.51.100.153,2
john,10.0.0.132,1
illegal,10.0.0.91,1
user1,10.0.0.104,1
invalid,192.168.1.124,1
guest,192.168.1.68,1
illegal,192.168.1.185,1
user2,172.16.0.16,1
sysadmin,10.0.0.162,1
invalid,10.0.0.130,1
guest,198.51.100.184,1
admin,172.16.0.95,1
oracle,172.16.0.138,1
ftp,198.51.100.93,1
illegal,203.0.113.244,1
invalid,10.0.0.195,1
invalid,203.0.113.148,2
illegal,203.0.113.229,1
invalid,10.0.0.193,1
invalid,198.51.100.88,1
invalid,172.16.0.116,1
illegal,192.168.1.35,1
sysadmin,172.16.0.36,1
user2,172.16.0.184,1
admin,203.0.113.90,1
illegal,198.51.100.84,1
invalid,192.168.1.79,1
invalid,192.168.1.181,1
guest,203.0.113.34,1
user2,192.168.1.17,1
illegal,192.168.1.214,1
oracle,172.16.0.188,1
illegal,172.16.0.250,1
john,192.168.1.4,1
guest,192.168.1.127,1
oracle,203.0.113.240,1
test,10.0.0.163,1
invalid,192.168.1.57,1
illegal,192.168.1.164,1
user2,172.16.0.49,1
user1,192.168.1.206,1
admin,192.168.1.44,1
john,203.0.113.239,1
ftp,172.16.0.51,1
illegal,203.0.113.228,1
illegal,198.51.100.240,2
illegal,203.0.113.252,2
illegal,10.0.0.205,1
user2,192.168.1.42,1
ftp,172.16.0.63,1
root,203.0.113.41,1
invalid,192.168.1.68,2
invalid,203.0.113.68,1
illegal,203.0.113.58,1
user2,198.51.100.209,1
invalid,198.51.100.52,1
illegal,192.168.1.85,1
user2,10.0.0.72,1
user1,192.168.1.241,1
invalid,172.16.0.165,1
illegal,203.0.113.250,1
illegal,10.0.0.198,1
guest,10.0.0.173,1
guest,172.16.0.2,1
sysadmin,198.51.100.135,1
root,172.16.0.41,1
invalid,10.0.0.53,1
root,10.0.0.194,1
invalid,192.168.1.177,1
guest,198.51.100.169,1
invalid,10.0.0.19,1
illegal,172.16.0.225,2
invalid,10.0.0.166,1
root,10.0.0.63,1
user1,192.168.1.245,1
root,172.16.0.203,1
illegal,172.16.0.100,1
invalid,192.168.1.27,1
test,172.16.0.118,1
invalid,198.51.100.22,1
user2,172.16.0.197,1
oracle,172.16.0.79,1
illegal,203.0.113.163,1
john,10.0.0.92,1
admin,10.0.0.41,1
admin,10.0.0.186,1
ftp,172.16.0.5,1
root,10.0.0.55,1
root,198.51.100.149,1
user1,198.51.100.54,1
illegal,203.0.113.87,1
root,172.16.0.227,1
invalid,172.16.0.99,2
john,10.0.0.171,1
illegal,198.51.100.244,2
invalid,192.168.1.141,1
user2,172.16.0.18,1
user1,198.51.100.186,1
invalid,203.0.113.221,1
invalid,203.0.113.175,1
user2,172.16.0.76,1
invalid,198.51.100.122,1
illegal,172.16.0.86,1
oracle,203.0.113.166,1
admin,172.16.0.162,1
root,198.51.100.46,1
invalid,10.0.0.112,1
user2,10.0.0.199,1
invalid,203.0.113.17,1
ftp,203.0.113.32,1
illegal,172.16.0.116,1
invalid,192.168.1.167,1
invalid,172.16.0.235,1
illegal,192.168.1.79,1
illegal,10.0.0.109,1
invalid,203.0.113.168,1
